name_problem;num_vertices;num_subgroups;num_clusters;time;profit;distance;route;subgroups_visited;method
ILP
example_NonCircularRoute;34;14;5;0,11;40,0;69,86;[(0  1)  (1  6)  (6  2)  (2  7)  (7  24)  (24  23)  (23  21)  (21  22)  (22  13)  (13  8)  (8  9)  (9  14)  (14  28)  (28  30)  (30  29)  (29  31)  (31  20)];[0  1  3  8  11  13];ILP
example_NonCircularRoute;34;14;5;0,103;40,0;64,41;[(0  1)  (1  6)  (6  2)  (2  7)  (7  22)  (22  21)  (21  23)  (23  24)  (24  13)  (13  8)  (8  9)  (9  14)  (14  30)  (30  28)  (28  29)  (29  31)  (31  20)];[0  1  3  7  11  13];ILP
example_NonCircularRoute;34;14;5;0,178;36,0;59,89;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  24)  (24  22)  (22  8)  (8  13)  (13  14)  (14  9)  (9  32)  (32  33)  (33  34)  (34  19)];[0  1  3  7  11  14];ILP
example_NonCircularRoute;34;14;5;0,257;32,0;53,39;[(0  1)  (1  2)  (2  7)  (7  6)  (6  25)  (25  27)  (27  26)  (26  10)  (10  12)  (12  11)  (11  30)  (30  28)  (28  29)  (29  31)  (31  20)];[0  1  4  7  12  13];ILP
example_NonCircularRoute;34;14;5;0,242;30,0;47,41;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  24)  (24  22)  (22  13)  (13  8)  (8  9)  (9  14)  (14  18)];[0  1  3  8  11];ILP
example_NonCircularRoute;34;14;5;0,186;26,0;42,38;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  24)  (24  22)  (22  10)  (10  11)  (11  12)  (12  17)];[0  1  4  9  11];ILP
example_NonCircularRoute;34;14;5;0,238;22,0;39,73;[(0  1)  (1  6)  (6  2)  (2  7)  (7  26)  (26  27)  (27  25)  (25  10)  (10  11)  (11  12)  (12  18)];[0  1  4  5  12];ILP
example_NonCircularRoute;34;14;5;0,21;20,0;32,41;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  22)  (22  24)  (24  16)];[0  1  6  11];ILP
example_NonCircularRoute;34;14;5;0,191;16,0;27,92;[(0  1)  (1  2)  (2  7)  (7  6)  (6  26)  (26  25)  (25  27)  (27  16)];[0  1  5  12];ILP
example_NonCircularRoute;34;14;5;0,124;12,0;22,23;[(0  3)  (3  4)  (4  5)  (5  25)  (25  27)  (27  26)  (26  16)];[0  2  5  12];ILP
example_NonCircularRoute;34;14;5;0,057;6,0;19,07;[(0  25)  (25  26)  (26  27)  (27  16)];[0  7  12];ILP
%% TABU-COPS
example_NonCircularRoute;34;14;5;1,561;40,0;67,23;[(0  1)  (1  6)  (6  2)  (2  7)  (7  21)  (21  23)  (23  24)  (24  22)  (22  13)  (13  8)  (8  9)  (9  14)  (14  28)  (28  29)  (29  31)  (31  30)  (30  19)];[0  11  1  13  3  9];COPS-TABU
example_NonCircularRoute;34;14;5;1,718;40,0;64,03;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  24)  (24  22)  (22  8)  (8  13)  (13  14)  (14  9)  (9  30)  (30  28)  (28  29)  (29  31)  (31  20)];[0  3  11  1  13  10];COPS-TABU
example_NonCircularRoute;34;14;5;1,351;36,0;58,74;[(7  2)  (2  0)  (0  1)  (1  6)  (6  25)  (25  27)  (27  26)  (26  13)  (13  8)  (8  9)  (9  14)  (14  30)  (30  28)  (28  29)  (29  31)  (31  20)];[0  1  12  3  13  10];COPS-TABU
example_NonCircularRoute;34;14;5;1,865;32,0;53,93;[(0  1)  (1  6)  (6  2)  (2  7)  (7  25)  (25  27)  (27  26)  (26  10)  (10  12)  (12  11)  (11  30)  (30  28)  (28  29)  (29  31)  (31  20)];[0  13  4  12  1  10];COPS-TABU
example_NonCircularRoute;34;14;5;1,475;30,0;47,41;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  24)  (24  22)  (22  13)  (13  8)  (8  9)  (9  14)  (14  18)];[0  1  3  11  6];COPS-TABU
example_NonCircularRoute;34;14;5;1,295;26,0;41,8;[(0  1)  (1  2)  (2  7)  (7  6)  (6  25)  (25  27)  (27  26)  (26  13)  (13  8)  (8  9)  (9  14)  (14  18)];[0  1  12  3  5];COPS-TABU
example_NonCircularRoute;34;14;5;1,194;22,0;36,62;[(0  3)  (3  4)  (4  5)  (5  25)  (25  27)  (27  26)  (26  13)  (13  8)  (8  9)  (9  14)  (14  18)];[0  12  2  3  9];COPS-TABU
example_NonCircularRoute;34;14;5;1,185;20,0;34,41;[(0  1)  (1  2)  (2  7)  (7  6)  (6  21)  (21  23)  (23  24)  (24  22)  (22  16)];[0  1  11  7];COPS-TABU
example_NonCircularRoute;34;14;5;1,13;16,0;29,52;[(0  3)  (3  4)  (4  5)  (5  21)  (21  23)  (23  24)  (24  22)  (22  16)];[0  2  11  6];COPS-TABU
example_NonCircularRoute;34;14;5;1,172;12,0;22,23;[(0  3)  (3  4)  (4  5)  (5  25)  (25  27)  (27  26)  (26  16)];[0  2  5  12];COPS-TABU
example_NonCircularRoute;34;14;5;1,135;6,0;19,07;[(0  25)  (25  26)  (26  27)  (27  16)];[0  12  10];COPS-TABU
example_NonCircularRoute;34;14;5;0,9;0;0;[];[0  8];COPS-TABU


