name_problem;num_vertices;num_subgroups;num_clusters;time;profit;distance;route;subgroups_visited;method
115rat575_T100_p1;574;574;115;1104,051;527,0;2374;[(222  245)  (245  290)  (290  292)  (292  272)  (272  297)  (297  320)  (320  321)  (321  366)  (366  340)  (340  337)  (337  335)  (335  336)  (336  384)  (384  408)  (408  407)  (407  430)  (430  452)  (452  451)  (451  498)  (498  479)  (479  480)  (480  502)  (502  525)  (525  544)  (544  566)  (566  539)  (539  540)  (540  517)  (517  515)  (515  535)  (535  534)  (534  510)  (510  486)  (486  463)  (463  418)  (418  395)  (395  422)  (422  423)  (423  424)  (424  401)  (401  353)  (353  375)  (375  350)  (350  348)  (348  370)  (370  369)  (369  346)  (346  300)  (300  277)  (277  301)  (301  329)  (329  307)  (307  260)  (260  259)  (259  209)  (209  208)  (208  163)  (163  141)  (141  140)  (140  95)  (95  96)  (96  74)  (74  48)  (48  47)  (47  0)  (0  2)  (2  3)  (3  29)  (29  32)  (32  10)  (10  33)  (33  12)  (12  36)  (36  39)  (39  40)  (40  63)  (63  112)  (112  90)  (90  113)  (113  135)  (135  181)  (181  180)  (180  178)  (178  155)  (155  107)  (107  106)  (106  103)  (103  127)  (127  148)  (148  147)  (147  168)  (168  191)  (191  190)  (190  214)  (214  217)  (217  218)  (218  221)  (221  222)];[0  155  209  96  336  107  127  366  222  340  74  370  540  335  422  502  480  346  515  277  95  103  272  106  135  479  221  180  384  525  320  90  190  208  401  168  63  33  517  112  369  408  32  141  181  290  353  245  423  329  544  217  147  535  39  498  301  418  48  214  113  259  486  463  395  452  148  40  191  218  430  29  407  178  307  36  539  424  350  10  47  12  297  534  510  3  2  260  348  451  300  292  140  566  321  163  337  375  0];COPS-TABU
115rat575_T100_p2;574;574;115;1427,313;26627,0;2387;[(395  418)  (418  415)  (415  369)  (369  370)  (370  347)  (347  348)  (348  328)  (328  354)  (354  307)  (307  329)  (329  303)  (303  254)  (254  231)  (231  233)  (233  234)  (234  212)  (212  164)  (164  163)  (163  165)  (165  169)  (169  170)  (170  147)  (147  148)  (148  150)  (150  104)  (104  103)  (103  122)  (122  96)  (96  95)  (95  48)  (48  47)  (47  0)  (0  24)  (24  25)  (25  27)  (27  29)  (29  53)  (53  54)  (54  10)  (10  33)  (33  12)  (12  39)  (39  40)  (40  64)  (64  112)  (112  90)  (90  113)  (113  110)  (110  133)  (133  181)  (181  180)  (180  179)  (179  178)  (178  196)  (196  218)  (218  217)  (217  265)  (265  245)  (245  246)  (246  273)  (273  297)  (297  321)  (321  320)  (320  295)  (295  339)  (339  338)  (338  335)  (335  336)  (336  361)  (361  388)  (388  411)  (411  431)  (431  454)  (454  456)  (456  477)  (477  524)  (524  525)  (525  550)  (550  571)  (571  569)  (569  519)  (519  517)  (517  540)  (540  539)  (539  514)  (514  536)  (536  534)  (534  510)  (510  486)  (486  464)  (464  442)  (442  470)  (470  471)  (471  427)  (427  428)  (428  400)  (400  399)  (399  395)];[0  64  456  369  431  524  517  329  96  470  33  54  180  295  320  233  336  246  339  212  519  265  48  254  569  103  40  415  303  454  395  338  354  150  12  217  104  525  510  418  179  388  133  273  95  539  112  361  147  348  536  335  411  231  218  370  400  234  169  170  442  428  163  181  90  178  486  245  113  571  347  196  514  471  540  164  427  148  328  464  47  122  29  39  534  165  53  307  10  110  399  25  24  297  321  27  550  0];COPS-TABU
115u574_T100_p1;573;573;115;1379,897;564,0;16655;[(168  169)  (169  174)  (174  175)  (175  210)  (210  184)  (184  185)  (185  284)  (284  288)  (288  295)  (295  304)  (304  307)  (307  308)  (308  311)  (311  309)  (309  327)  (327  328)  (328  331)  (331  266)  (266  264)  (264  263)  (263  262)  (262  190)  (190  250)  (250  474)  (474  461)  (461  460)  (460  395)  (395  254)  (254  390)  (390  382)  (382  373)  (373  369)  (369  344)  (344  360)  (360  358)  (358  409)  (409  416)  (416  417)  (417  418)  (418  447)  (447  441)  (441  442)  (442  432)  (432  435)  (435  436)  (436  491)  (491  485)  (485  484)  (484  492)  (492  498)  (498  499)  (499  507)  (507  505)  (505  512)  (512  521)  (521  522)  (522  242)  (242  203)  (203  199)  (199  204)  (204  239)  (239  225)  (225  21)  (21  22)  (22  31)  (31  17)  (17  16)  (16  528)  (528  529)  (529  535)  (535  536)  (536  12)  (12  549)  (549  552)  (552  556)  (556  5)  (5  4)  (4  566)  (566  567)  (567  0)  (0  572)  (572  48)  (48  49)  (49  45)  (45  53)  (53  57)  (57  59)  (59  75)  (75  61)  (61  70)  (70  68)  (68  69)  (69  135)  (135  136)  (136  137)  (137  144)  (144  101)  (101  118)  (118  110)  (110  82)  (82  81)  (81  38)  (38  37)  (37  28)  (28  88)  (88  89)  (89  161)  (161  159)  (159  151)  (151  168)];[0  250  264  88  418  382  89  373  203  498  529  21  135  169  528  369  288  556  491  174  101  82  485  552  311  239  436  17  45  536  512  492  31  308  567  5  266  309  566  360  151  137  474  505  442  254  136  16  161  190  118  416  447  144  68  522  461  441  175  262  460  417  37  210  53  49  168  204  4  344  22  499  28  484  38  199  263  242  549  307  572  159  75  409  395  225  327  390  69  328  432  304  435  185  48  81  331  507  535  57  358  70  184  61  521  59  295  12  110  284  0];COPS-TABU
115u574_T100_p2;573;573;115;1390,239;28471,0;16676;[(268  378)  (378  337)  (337  349)  (349  350)  (350  359)  (359  358)  (358  383)  (383  385)  (385  390)  (390  255)  (255  254)  (254  253)  (253  465)  (465  464)  (464  457)  (457  455)  (455  418)  (418  417)  (417  416)  (416  428)  (428  436)  (436  435)  (435  432)  (432  442)  (442  441)  (441  489)  (489  485)  (485  484)  (484  492)  (492  498)  (498  499)  (499  507)  (507  505)  (505  518)  (518  246)  (246  242)  (242  521)  (521  522)  (522  226)  (226  227)  (227  238)  (238  196)  (196  194)  (194  185)  (185  184)  (184  183)  (183  213)  (213  211)  (211  215)  (215  24)  (24  31)  (31  17)  (17  16)  (16  528)  (528  530)  (530  531)  (531  538)  (538  12)  (12  549)  (549  550)  (550  556)  (556  5)  (5  4)  (4  566)  (566  0)  (0  573)  (573  572)  (572  48)  (48  51)  (51  53)  (53  43)  (43  79)  (79  80)  (80  85)  (85  86)  (86  88)  (88  28)  (28  89)  (89  105)  (105  111)  (111  76)  (76  59)  (59  61)  (61  62)  (62  73)  (73  115)  (115  97)  (97  96)  (96  134)  (134  136)  (136  145)  (145  146)  (146  158)  (158  155)  (155  168)  (168  169)  (169  291)  (291  295)  (295  304)  (304  307)  (307  308)  (308  311)  (311  309)  (309  276)  (276  271)  (271  327)  (327  328)  (328  332)  (332  268)];[0  417  538  226  86  255  254  528  489  96  62  350  518  238  307  97  522  73  158  572  76  556  253  115  268  291  155  531  12  271  89  215  573  145  390  227  28  436  332  499  455  465  183  51  442  134  88  79  385  31  484  213  146  378  194  309  4  43  549  507  349  358  498  441  17  485  80  327  435  505  416  169  530  24  566  359  111  383  168  337  432  304  5  464  550  276  457  308  246  196  211  242  185  16  311  418  184  105  85  295  61  136  59  328  48  492  428  521  53  0];COPS-TABU
131p654_T100_p1;653;653;130;860,086;652,0;26915;[(74  506)  (506  507)  (507  564)  (564  529)  (529  514)  (514  546)  (546  547)  (547  519)  (519  215)  (215  227)  (227  247)  (247  258)  (258  262)  (262  285)  (285  105)  (105  104)  (104  103)  (103  72)  (72  71)  (71  70)  (70  69)  (69  67)  (67  68)  (68  66)  (66  65)  (65  64)  (64  62)  (62  9)  (9  8)  (8  7)  (7  6)  (6  12)  (12  10)  (10  61)  (61  13)  (13  34)  (34  28)  (28  22)  (22  24)  (24  23)  (23  25)  (25  27)  (27  30)  (30  37)  (37  40)  (40  42)  (42  46)  (46  44)  (44  48)  (48  49)  (49  52)  (52  50)  (50  51)  (51  56)  (56  59)  (59  58)  (58  57)  (57  17)  (17  18)  (18  477)  (477  473)  (473  442)  (442  438)  (438  430)  (430  394)  (394  601)  (601  600)  (600  627)  (627  651)  (651  594)  (594  593)  (593  589)  (589  588)  (588  392)  (392  351)  (351  350)  (350  322)  (322  313)  (313  309)  (309  586)  (586  585)  (585  607)  (607  582)  (582  606)  (606  579)  (579  617)  (617  602)  (602  573)  (573  16)  (16  14)  (14  4)  (4  3)  (3  2)  (2  0)  (0  532)  (532  533)  (533  493)  (493  535)  (535  522)  (522  498)  (498  501)  (501  502)  (502  504)  (504  106)  (106  107)  (107  142)  (142  146)  (146  185)  (185  189)  (189  101)  (101  99)  (99  98)  (98  97)  (97  96)  (96  95)  (95  90)  (90  91)  (91  92)  (92  89)  (89  81)  (81  85)  (85  86)  (86  84)  (84  83)  (83  80)  (80  76)  (76  73)  (73  75)  (75  78)  (78  77)  (77  74)];[0  601  68  514  313  107  10  585  394  322  532  105  586  593  37  91  59  65  104  589  57  30  76  350  493  89  67  262  78  99  28  73  34  501  588  185  40  309  594  22  52  61  573  44  77  106  522  25  606  18  46  90  75  92  142  16  504  6  23  98  285  438  392  502  498  51  80  607  50  58  506  103  48  27  582  189  17  430  535  547  617  627  473  258  64  83  85  72  86  66  442  651  519  62  101  70  56  49  74  533  507  84  81  146  529  477  227  600  2  95  71  69  351  13  3  97  602  42  564  12  215  96  579  9  546  247  8  4  14  7  0];COPS-TABU
131p654_T100_p2;653;653;130;821,446;32981,0;27404;[(72  103)  (103  104)  (104  105)  (105  285)  (285  281)  (281  250)  (250  246)  (246  238)  (238  202)  (202  519)  (519  518)  (518  531)  (531  514)  (514  512)  (512  543)  (543  507)  (507  506)  (506  74)  (74  77)  (77  78)  (78  75)  (75  76)  (76  73)  (73  81)  (81  85)  (85  80)  (80  83)  (83  84)  (84  87)  (87  90)  (90  91)  (91  89)  (89  92)  (92  94)  (94  96)  (96  97)  (97  98)  (98  99)  (99  101)  (101  189)  (189  185)  (185  146)  (146  140)  (140  107)  (107  106)  (106  504)  (504  502)  (502  501)  (501  498)  (498  552)  (552  551)  (551  493)  (493  533)  (533  532)  (532  0)  (0  1)  (1  3)  (3  4)  (4  6)  (6  7)  (7  8)  (8  9)  (9  12)  (12  11)  (11  61)  (61  13)  (13  34)  (34  28)  (28  21)  (21  23)  (23  25)  (25  27)  (27  30)  (30  40)  (40  41)  (41  43)  (43  42)  (42  46)  (46  48)  (48  50)  (50  51)  (51  56)  (56  59)  (59  58)  (58  57)  (57  52)  (52  49)  (49  18)  (18  17)  (17  16)  (16  15)  (15  572)  (572  574)  (574  578)  (578  579)  (579  581)  (581  584)  (584  607)  (607  585)  (585  641)  (641  309)  (309  313)  (313  322)  (322  341)  (341  375)  (375  379)  (379  588)  (588  589)  (589  625)  (625  610)  (610  651)  (651  627)  (627  600)  (600  601)  (601  402)  (402  421)  (421  425)  (425  450)  (450  454)  (454  487)  (487  68)  (68  67)  (67  66)  (66  65)  (65  64)  (64  62)  (62  70)  (70  69)  (69  71)  (71  72)];[0  579  89  498  8  322  581  519  202  97  56  90  94  512  105  585  98  59  62  572  52  313  589  1  514  501  34  21  75  493  189  507  85  502  42  84  91  80  281  625  50  101  425  18  27  375  584  552  16  504  341  574  83  87  600  607  46  610  96  140  543  285  11  77  379  41  13  506  69  51  15  641  601  30  49  627  6  64  68  72  25  12  246  43  74  103  185  61  402  7  58  532  651  28  531  23  250  533  99  67  454  309  66  107  71  238  421  76  73  487  588  17  3  57  551  450  578  4  518  106  146  81  104  65  70  78  40  48  92  9  0];COPS-TABU
132d657_T100_p1;656;656;131;1344,204;641,0;22443;[(524  530)  (530  538)  (538  537)  (537  633)  (633  632)  (632  647)  (647  649)  (649  627)  (627  654)  (654  655)  (655  561)  (561  552)  (552  548)  (548  553)  (553  558)  (558  556)  (556  567)  (567  510)  (510  173)  (173  182)  (182  203)  (203  285)  (285  278)  (278  265)  (265  229)  (229  246)  (246  589)  (589  595)  (595  578)  (578  577)  (577  576)  (576  579)  (579  587)  (587  590)  (590  599)  (599  611)  (611  612)  (612  623)  (623  624)  (624  620)  (620  622)  (622  356)  (356  360)  (360  381)  (381  383)  (383  428)  (428  417)  (417  411)  (411  353)  (353  344)  (344  352)  (352  385)  (385  395)  (395  405)  (405  401)  (401  327)  (327  311)  (311  284)  (284  272)  (272  249)  (249  226)  (226  227)  (227  247)  (247  251)  (251  254)  (254  309)  (309  308)  (308  388)  (388  397)  (397  415)  (415  421)  (421  416)  (416  390)  (390  335)  (335  340)  (340  299)  (299  271)  (271  261)  (261  253)  (253  218)  (218  187)  (187  165)  (165  101)  (101  131)  (131  117)  (117  79)  (79  45)  (45  35)  (35  36)  (36  7)  (7  3)  (3  2)  (2  0)  (0  13)  (13  18)  (18  23)  (23  440)  (440  25)  (25  69)  (69  92)  (92  99)  (99  147)  (147  154)  (154  158)  (158  176)  (176  146)  (146  83)  (83  76)  (76  67)  (67  51)  (51  47)  (47  464)  (464  458)  (458  460)  (460  459)  (459  475)  (475  474)  (474  476)  (476  499)  (499  502)  (502  513)  (513  517)  (517  524)];[0  117  460  647  553  229  388  538  218  390  353  633  272  36  154  595  530  405  203  51  340  622  67  249  284  567  587  383  459  655  416  76  101  311  131  247  45  327  513  356  69  552  578  47  285  415  558  92  417  632  352  158  561  395  265  458  79  335  23  226  25  299  173  579  147  517  385  548  599  182  537  278  176  502  401  624  308  360  99  254  251  576  577  261  344  397  227  246  421  556  83  649  146  620  13  271  476  411  18  381  510  428  524  623  440  35  654  611  187  590  499  309  475  612  253  7  589  165  464  3  2  627  474  0];COPS-TABU
132d657_T100_p2;656;656;131;1532,323;32329,0;22485;[(154  151)  (151  176)  (176  146)  (146  83)  (83  76)  (76  67)  (67  56)  (56  470)  (470  47)  (47  464)  (464  458)  (458  459)  (459  479)  (479  480)  (480  516)  (516  517)  (517  520)  (520  524)  (524  533)  (533  537)  (537  541)  (541  633)  (633  632)  (632  548)  (548  553)  (553  558)  (558  552)  (552  651)  (651  648)  (648  627)  (627  654)  (654  655)  (655  571)  (571  577)  (577  576)  (576  579)  (579  587)  (587  590)  (590  599)  (599  611)  (611  612)  (612  625)  (625  620)  (620  622)  (622  618)  (618  605)  (605  589)  (589  586)  (586  567)  (567  559)  (559  510)  (510  136)  (136  159)  (159  200)  (200  213)  (213  216)  (216  222)  (222  256)  (256  274)  (274  283)  (283  296)  (296  297)  (297  306)  (306  331)  (331  381)  (381  383)  (383  428)  (428  417)  (417  411)  (411  353)  (353  344)  (344  359)  (359  366)  (366  419)  (419  405)  (405  401)  (401  312)  (312  304)  (304  311)  (311  276)  (276  242)  (242  227)  (227  247)  (247  254)  (254  275)  (275  325)  (325  348)  (348  391)  (391  409)  (409  390)  (390  322)  (322  335)  (335  340)  (340  299)  (299  240)  (240  235)  (235  231)  (231  237)  (237  190)  (190  168)  (168  140)  (140  132)  (132  79)  (79  45)  (45  35)  (35  36)  (36  7)  (7  3)  (3  2)  (2  0)  (0  13)  (13  18)  (18  23)  (23  440)  (440  25)  (25  52)  (52  92)  (92  99)  (99  147)  (147  154)];[0  366  190  7  579  548  331  440  322  633  651  571  36  76  524  381  83  213  23  25  235  516  240  611  176  428  559  13  237  464  648  45  247  168  67  151  459  558  510  340  625  577  344  479  348  632  391  306  304  276  312  590  353  242  200  417  299  52  140  401  56  35  470  390  419  480  296  159  216  92  589  335  254  2  541  283  147  537  222  567  411  586  311  99  227  136  405  275  520  552  620  622  553  18  47  132  256  655  576  599  587  533  605  154  231  297  458  274  79  359  383  654  146  3  409  325  517  612  627  0];COPS-TABU
145u724_T100_p1;723;723;144;1706,722;684,0;17258;[(493  343)  (343  506)  (506  211)  (211  210)  (210  514)  (514  525)  (525  520)  (520  516)  (516  265)  (265  270)  (270  271)  (271  278)  (278  130)  (130  282)  (282  283)  (283  145)  (145  148)  (148  150)  (150  580)  (580  575)  (575  554)  (554  543)  (543  187)  (187  549)  (549  573)  (573  574)  (574  558)  (558  591)  (591  593)  (593  152)  (152  151)  (151  140)  (140  643)  (643  675)  (675  77)  (77  58)  (58  51)  (51  59)  (59  104)  (104  69)  (69  62)  (62  63)  (63  99)  (99  699)  (699  709)  (709  8)  (8  701)  (701  694)  (694  88)  (88  87)  (87  81)  (81  30)  (30  21)  (21  687)  (687  44)  (44  38)  (38  28)  (28  10)  (10  1)  (1  0)  (0  721)  (721  42)  (42  47)  (47  39)  (39  41)  (41  670)  (670  677)  (677  674)  (674  654)  (654  612)  (612  617)  (617  614)  (614  153)  (153  165)  (165  141)  (141  143)  (143  178)  (178  179)  (179  533)  (533  202)  (202  236)  (236  243)  (243  254)  (254  538)  (538  548)  (548  195)  (195  200)  (200  206)  (206  512)  (512  207)  (207  513)  (513  496)  (496  338)  (338  337)  (337  331)  (331  321)  (321  354)  (354  355)  (355  319)  (319  307)  (307  314)  (314  309)  (309  398)  (398  384)  (384  387)  (387  372)  (372  367)  (367  469)  (469  468)  (468  402)  (402  359)  (359  296)  (296  458)  (458  459)  (459  462)  (462  446)  (446  445)  (445  460)  (460  430)  (430  403)  (403  290)  (290  285)  (285  483)  (483  480)  (480  492)  (492  493)];[0  462  207  458  384  200  104  512  558  359  39  593  44  575  179  549  402  694  709  403  675  265  492  398  148  283  30  21  483  42  271  63  285  614  525  151  314  307  480  338  210  1  533  152  87  331  59  143  254  445  721  202  355  99  62  617  28  145  81  643  354  88  674  573  687  538  612  243  296  41  77  699  520  140  430  290  51  591  506  387  10  460  187  337  468  309  343  38  47  677  236  211  446  69  496  574  178  514  654  372  270  367  141  58  459  8  548  150  282  319  321  554  670  165  278  516  153  493  513  130  206  580  195  469  701  543  0];COPS-TABU
145u724_T100_p2;723;723;144;1139,297;34719,0;17270;[(39  11)  (11  0)  (0  723)  (723  10)  (10  28)  (28  38)  (38  44)  (44  687)  (687  690)  (690  93)  (93  30)  (30  81)  (81  88)  (88  87)  (87  701)  (701  8)  (8  709)  (709  699)  (699  16)  (16  62)  (62  69)  (69  114)  (114  110)  (110  51)  (51  59)  (59  58)  (58  116)  (116  625)  (625  628)  (628  644)  (644  638)  (638  148)  (148  145)  (145  129)  (129  127)  (127  281)  (281  275)  (275  258)  (258  265)  (265  194)  (194  192)  (192  521)  (521  209)  (209  252)  (252  212)  (212  221)  (221  215)  (215  339)  (339  481)  (481  492)  (492  493)  (493  483)  (483  285)  (285  290)  (290  403)  (403  430)  (430  431)  (431  460)  (460  452)  (452  410)  (410  463)  (463  465)  (465  418)  (418  485)  (485  489)  (489  479)  (479  348)  (348  220)  (220  207)  (207  541)  (541  543)  (543  571)  (571  575)  (575  580)  (580  133)  (133  136)  (136  589)  (589  581)  (581  570)  (570  572)  (572  184)  (184  557)  (557  551)  (551  190)  (190  198)  (198  195)  (195  206)  (206  218)  (218  217)  (217  214)  (214  230)  (230  331)  (331  322)  (322  336)  (336  315)  (315  361)  (361  367)  (367  365)  (365  383)  (383  387)  (387  394)  (394  396)  (396  309)  (309  306)  (306  318)  (318  319)  (319  239)  (239  202)  (202  533)  (533  179)  (179  178)  (178  143)  (143  141)  (141  165)  (165  608)  (608  156)  (156  614)  (614  617)  (617  612)  (612  654)  (654  655)  (655  677)  (677  31)  (31  42)  (42  47)  (47  39)];[0  290  143  69  47  654  215  192  214  198  127  88  625  557  10  258  365  230  690  521  431  165  156  608  58  570  148  315  541  81  141  285  42  551  239  331  281  709  638  93  190  581  543  178  209  114  655  493  179  677  336  614  463  319  221  265  479  218  44  394  396  306  110  87  145  572  367  589  322  16  361  699  39  30  38  533  492  136  207  8  575  318  348  430  116  217  383  309  485  220  617  410  194  452  252  628  202  133  51  184  571  59  212  418  11  62  28  460  701  612  129  275  206  195  387  481  483  31  403  644  465  580  687  723  489  0];COPS-TABU
