name_problem;num_vertices;num_subgroups;num_clusters;time;profit;distance;route;subgroups_visited;method
11berlin52_T100_p1;51;51;11;0,77;50,0;3820;[(44  18)  (18  3)  (3  11)  (11  50)  (50  12)  (12  46)  (46  41)  (41  20)  (20  30)  (30  0)  (0  44)];[0  3  18  20  50  41  30  11  44  12  46  0];COPS-TABU
11berlin52_T100_p1;51;51;11;0,25;50,0;3835;[(31  0)  (0  17)  (17  20)  (20  41)  (41  46)  (46  12)  (12  26)  (26  50)  (50  18)  (18  44)  (44  31)];[0  12  31  18  50  41  46  44  17  26  20  0];COPS-TABU
11berlin52_T100_p1;51;51;11;0,098;50,0;3802;[(41  20)  (20  30)  (30  21)  (21  0)  (0  44)  (44  18)  (18  50)  (50  27)  (27  12)  (12  46)  (46  41)];[0  21  30  27  41  44  20  12  18  46  50  0];COPS-TABU
11berlin52_T100_p2;51;51;11;0,06;2580,0;4037;[(41  20)  (20  30)  (30  21)  (21  0)  (0  44)  (44  18)  (18  32)  (32  50)  (50  12)  (12  26)  (26  41)];[0  20  50  21  41  12  30  26  44  18  32  0];COPS-TABU
11berlin52_T40_p1;51;51;11;0,054;33,0;1490;[(1  22)  (22  21)  (21  0)  (0  17)  (17  1)];[0  17  1  21  22  0];COPS-TABU
11berlin52_T40_p2;51;51;11;0,069;1829,0;1273;[(38  0)  (0  21)  (21  30)  (30  22)  (22  44)  (44  18)  (18  38)];[0  44  30  22  18  21  0];COPS-TABU
11berlin52_T60_p1;51;51;11;0,032;41,0;2383;[(31  0)  (0  19)  (19  2)  (2  18)  (18  44)  (44  11)  (11  31)];[0  2  19  44  11  18  31  0];COPS-TABU
11berlin52_T60_p2;51;51;11;0,04;2023,0;1650;[(41  20)  (20  30)  (30  21)  (21  0)  (0  44)  (44  18)  (18  41)];[0  21  44  41  30  18  20  0];COPS-TABU
11berlin52_T80_p1;51;51;11;0,041;46,0;3052;[(41  20)  (20  30)  (30  21)  (21  0)  (0  11)  (11  50)  (50  42)  (42  18)  (18  41)];[0  50  30  41  20  11  42  21  18  0];COPS-TABU
11berlin52_T80_p2;51;51;11;0,036;2384,0;3118;[(41  20)  (20  17)  (17  18)  (18  44)  (44  50)  (50  11)  (11  31)  (31  0)  (0  41)];[0  18  44  11  31  17  50  20  41  0];COPS-TABU
11eil51_T100_p1;50;50;11;0,058;46,0;160;[(7  0)  (0  2)  (2  1)  (1  10)  (10  4)  (4  18)  (18  3)  (3  17)  (17  5)  (5  7)];[0  18  2  4  10  3  5  1  17  7  0];COPS-TABU
11eil51_T100_p2;50;50;11;0,048;2417,0;169;[(21  0)  (0  5)  (5  23)  (23  12)  (12  40)  (40  44)  (44  32)  (32  37)  (37  10)  (10  1)  (1  21)];[0  5  1  23  32  12  10  44  21  37  40  0];COPS-TABU
11eil51_T40_p1;50;50;11;0,046;17,0;68;[(0  10)  (10  4)  (4  5)  (5  0)];[0  10  5  4  0];COPS-TABU
11eil51_T40_p2;50;50;11;0,05;1031,0;59;[(0  7)  (7  1)  (1  10)  (10  0)];[0  1  7  10  0];COPS-TABU
11eil51_T60_p1;50;50;11;0,035;31,0;98;[(8  15)  (15  21)  (21  0)  (0  45)  (45  16)  (16  11)  (11  8)];[0  15  21  11  8  16  0];COPS-TABU
11eil51_T60_p2;50;50;11;0,028;1395,0;104;[(23  22)  (22  0)  (0  1)  (1  10)  (10  37)  (37  23)];[0  1  10  22  37  23  0];COPS-TABU
11eil51_T80_p1;50;50;11;0,046;41,0;139;[(32  14)  (14  46)  (46  17)  (17  47)  (47  7)  (7  0)  (0  15)  (15  48)  (48  32)];[0  14  32  47  46  48  7  15  17  0];COPS-TABU
